Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","millions","28366.80735","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","millions","24184.900676","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","millions","24489.342169","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","millions","25106.683579","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","millions","28259.200104","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","millions","28527.746544","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2001","2001","millions","25665.349633","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2002","2002","millions","32831.937877","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","millions","40005.813747","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","millions","45654.646446","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","millions","53424.708416","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","millions","60800.908741","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","millions","70044.365226","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","millions","87869.569445","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","millions","84079.36841","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","millions","82765.227181","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","millions","89819.591132","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","millions","80889.235091","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","millions","81709.470435","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","millions","79598.362038","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","millions","71781.858834","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","millions","69102.076853","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","millions","77007.971036","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","millions","99578.798799","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","millions","93428.158598","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","203","Czechia","6110","Value US$","23130","Total Expenditure (General Government)","2020","2020","millions","104491.541453","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23130","Total Expenditure (General Government)","2001","2001","millions","86961.29646","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23130","Total Expenditure (General Government)","2002","2002","millions","94878.039173","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","millions","117084.585257","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","millions","133504.495861","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","millions","136023.051872","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","millions","141538.149376","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","millions","158636.56481","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","millions","177425.615315","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","millions","180135.61239","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","millions","180049.519254","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","208","Denmark","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","millions","194118.643404","A","Official figure","Consolidated General Government Expenditure"
